WELL_NAME,DATE,_merge
1.0,2022-05-22,left_only
1.0,2022-05-23,left_only
1.0,2022-05-24,left_only
1.0,2022-05-25,left_only
1.0,2022-05-26,left_only
1.0,2022-05-27,left_only
1.0,2022-05-28,left_only
1.0,2022-05-29,left_only
1.0,2022-05-30,left_only
1.0,2022-05-31,left_only
4.0,2018-06-24,left_only
4.0,2018-06-25,left_only
4.0,2018-06-26,left_only
4.0,2018-06-27,left_only
4.0,2018-06-28,left_only
4.0,2018-06-29,left_only
4.0,2018-06-30,left_only
4.0,2018-07-01,left_only
4.0,2018-07-02,left_only
4.0,2018-07-03,left_only
4.0,2018-07-04,left_only
4.0,2018-07-05,left_only
4.0,2018-07-06,left_only
4.0,2018-07-07,left_only
4.0,2018-07-08,left_only
4.0,2018-07-09,left_only
4.0,2018-07-10,left_only
4.0,2018-07-11,left_only
4.0,2018-07-12,left_only
4.0,2018-07-13,left_only
4.0,2018-07-14,left_only
4.0,2018-07-15,left_only
4.0,2018-07-16,left_only
4.0,2018-07-17,left_only
4.0,2018-07-18,left_only
4.0,2018-07-19,left_only
4.0,2018-07-20,left_only
4.0,2018-07-21,left_only
4.0,2018-07-22,left_only
4.0,2018-07-23,left_only
4.0,2018-07-24,left_only
4.0,2018-07-25,left_only
4.0,2018-07-26,left_only
4.0,2018-07-27,left_only
4.0,2018-07-28,left_only
4.0,2018-07-29,left_only
4.0,2018-07-30,left_only
4.0,2018-07-31,left_only
4.0,2018-08-01,left_only
4.0,2018-08-02,left_only
4.0,2018-08-03,left_only
4.0,2018-08-04,left_only
4.0,2018-08-05,left_only
4.0,2018-08-06,left_only
4.0,2018-08-07,left_only
4.0,2018-08-08,left_only
4.0,2018-08-09,left_only
4.0,2018-08-10,left_only
4.0,2018-08-11,left_only
4.0,2018-08-12,left_only
4.0,2018-08-13,left_only
4.0,2018-08-14,left_only
4.0,2018-08-15,left_only
4.0,2018-08-16,left_only
4.0,2018-08-17,left_only
4.0,2018-08-18,left_only
4.0,2018-08-19,left_only
4.0,2018-08-20,left_only
4.0,2018-08-21,left_only
